Crime,Address,Date,Time
Aggravated assault,600 block Seeley Rd,11/29/2015,12:30 p.m.-12:32 p.m.
Aggravated assault,300 block Danforth St,11/28/2015,1:05 a.m.
Aggravated assault,100 block Ballantyne Rd,11/28/2015,1:00 p.m.
Aggravated assault,300 block Lexington Av,11/28/2015,2:45 p.m.-2:57 p.m.
Aggravated assault,100 block Stafford Av,11/28/2015,9:52 p.m.
Aggravated assault,500 block S Clinton St,11/28/2015,11:26 p.m.
Aggravated assault,300 block Pine St,11/27/2015,4:10 a.m.-4:14 a.m.
Aggravated assault,400 block Pond St,11/27/2015,6:15 p.m.
Aggravated assault,100 block Melbourne Av,11/27/2015,11:58 p.m.
Aggravated assault,400 block S Salina St,11/25/2015,4:54 p.m.
Aggravated assault,800 block S Salina St,11/24/2015,11:00 a.m.
Aggravated assault,500 block Valley Dr,11/24/2015,4:12 p.m.
Aggravated assault,1200 block Lodi St,11/22/2015,12:02 a.m.-12:05 a.m.
Aggravated assault,600 block W Onondaga St,11/22/2015,4:20 p.m.-4:23 p.m.
Aggravated assault,200 block Hartson St,11/21/2015,11:25 p.m.-11:27 p.m.
Aggravated assault,1300 block South Av,11/20/2015,1:15 a.m.-1:18 a.m.
Aggravated assault,700 block E Adams St,11/20/2015,11:05 a.m.
Aggravated assault,900 block Avery Av,11/20/2015,3:35 p.m.
Aggravated assault,100 block Fitch St,11/18/2015,8:00 p.m.-12:40 p.m.
Aggravated assault,100 block Merriman Av,11/17/2015,7:57 p.m.
Aggravated assault,100 block S Carbon St,11/17/2015,11:45 a.m.-12:15 p.m.
Aggravated assault,200 block Lime St,11/15/2015,12:24 p.m.
Aggravated assault,100 block Dickerson St,11/15/2015,5:00 p.m.
Aggravated assault,100 block Dearborn Pl,11/15/2015,10:28 p.m.
Aggravated assault,400 block N Geddes St,11/15/2015,7:30 a.m.
Aggravated assault,200 block W Colvin St,11/14/2015,12:05 a.m.-12:26 a.m.
Aggravated assault,100 block Roney Ln,11/14/2015,1:00 a.m.-1:02 a.m.
Aggravated assault,100 block Sarah Loguen St,11/14/2015,6:59 p.m.
Aggravated assault,200 block Rich St,11/14/2015,8:30 p.m.-8:35 p.m.
Aggravated assault,100 block Mcclure Av,11/13/2015,12:30 a.m.-12:52 a.m.
Aggravated assault,100 block E Seneca Tpke,11/13/2015,1:30 p.m.
Aggravated assault,500 block Wyoming St,11/13/2015,5:09 p.m.
Aggravated assault,1400 block E Washington St,11/13/2015,5:54 p.m.
Aggravated assault,300 block Arthur St,11/12/2015,7:28 a.m.
Aggravated assault,500 block Carbon St,11/12/2015,11:00 a.m.
Aggravated assault,500 block Richmond Av,11/12/2015,12:45 p.m.
Aggravated assault,100 block Dickerson St,11/12/2015,1:40 p.m.
Aggravated assault,100 block Herbert St,11/12/2015,6:24 p.m.
Aggravated assault,100 block Hudson St,11/10/2015,11:21 a.m.
Aggravated assault,1900 block Lodi St,11/9/2015,12:40 p.m.
Aggravated assault,700 block Cannon St,11/9/2015,4:21 p.m.
Aggravated assault,4700 block S Salina St,11/9/2015,8:50 p.m.
Aggravated assault,4400 block S Salina St,11/9/2015,11:35 p.m.
Aggravated assault,1300 block W Fayette St,11/8/2015,2:00 a.m.
Aggravated assault,100 block W Martin Luther King St,11/8/2015,11:50 a.m.
Aggravated assault,1300 block Midland Av,11/8/2015,1:51 p.m.
Aggravated assault,300 block Chemung St,11/8/2015,3:39 p.m.
Aggravated assault,100 block Bryant Av,11/8/2015,1:30 a.m.
Aggravated assault,1200 block S State St,11/7/2015,1:15 a.m.
Aggravated assault,100 block W Ostrander Av,11/7/2015,3:56 a.m.
